Potential (V),Current (µA)
0.14398,5.5999750000000005e-06
0.14612899999999998,1.6799928e-05
0.148278,1.1199951000000002e-05
0.150427,0.0
0.152576,1.1199951000000002e-05
0.154725,1.6799928e-05
0.15687399999999999,0.0
0.159023,5.5999750000000005e-06
0.16117199999999998,1.6799928e-05
0.163321,1.1199951000000002e-05
0.16547,0.0
0.167619,1.1199951000000002e-05
0.169768,1.1199951000000002e-05
0.17191599999999999,0.0
0.174065,5.5999750000000005e-06
0.17621399999999998,1.6799928e-05
0.178363,1.1199951000000002e-05
0.18051199999999998,0.0
0.182661,1.1199951000000002e-05
0.18481,1.6799928e-05
0.186959,0.0
0.189108,0.0
0.19125699999999998,1.6799928e-05
0.193406,1.1199951000000002e-05
0.19555499999999998,0.0
0.197704,1.1199951000000002e-05
0.199853,1.6799928e-05
0.202002,0.0
0.204151,5.5999750000000005e-06
0.20629999999999998,1.6799928e-05
0.208449,1.1199951000000002e-05
0.21059799999999998,0.0
0.212747,1.1199951000000002e-05
0.214896,1.6799928e-05
0.217045,5.5999750000000005e-06
0.219194,5.5999750000000005e-06
0.22134299999999998,1.6799928e-05
0.223492,1.1199951000000002e-05
0.22564099999999998,0.0
0.227789,1.1199951000000002e-05
0.22993799999999998,1.6799928e-05
0.232087,5.5999750000000005e-06
0.234236,5.5999750000000005e-06
0.23638499999999998,1.6799928e-05
0.238534,1.1199951000000002e-05
0.24068299999999998,0.0
0.242832,1.1199951000000002e-05
0.24498099999999998,1.6799928e-05
0.24713,5.5999750000000005e-06
0.249279,5.5999750000000005e-06
0.251428,1.6799928e-05
0.253577,1.1199951000000002e-05
0.255726,0.0
0.25787499999999997,1.1199951000000002e-05
0.260024,1.6799928e-05
0.262173,5.5999750000000005e-06
0.264322,5.5999750000000005e-06
0.266471,1.6799928e-05
0.26861999999999997,1.1199951000000002e-05
0.270769,0.0
0.272918,1.1199951000000002e-05
0.275067,1.6799928e-05
0.27721599999999996,5.5999750000000005e-06
0.279365,5.5999750000000005e-06
0.281514,1.6799928e-05
0.283663,1.1199951000000002e-05
0.285811,0.0
0.28796,1.1199951000000002e-05
0.290109,1.6799928e-05
0.29225799999999996,5.5999750000000005e-06
0.294407,5.5999750000000005e-06
0.296556,1.6799928e-05
0.298705,1.1199951000000002e-05
0.300854,0.0
0.30300299999999997,1.1199951000000002e-05
0.305152,1.6799928e-05
0.307301,5.5999750000000005e-06
0.30945,0.0
0.31159899999999996,1.6799928e-05
0.31374799999999997,1.6799928e-05
0.315897,0.0
0.318046,1.1199951000000002e-05
0.320195,1.6799928e-05
0.32234399999999996,5.5999750000000005e-06
0.324493,0.0
0.326642,1.6799928e-05
0.328791,1.6799928e-05
0.33094,0.0
0.33308899999999997,1.1199951000000002e-05
0.335238,1.6799928e-05
